Thillai Natarajar Temple, Chidambaram
Thirunraiyur Brahmapureeswarar Temple, Thirunraiyur
Thiruppalathurai Pasupatheeswarar Temple, Papanasam
Thiruchattimutram Viswanathar Temple, Thiruchattimutram
Thanjavur Thanjapureeswarar Temple, Thanjavur
Thiruvalanchuzhi Karpaganathar Temple, Thiruvalanchuzhi
Thiruvettakudy Somanathar Temple, Karaikkal
Thirukarunjeevi Karunjeeveeswarar Temple, Karuveeli
Thiru Aanaimadam Aanaimadathu Ayyanar Temple, Anaimadam
Thiru Puranthakam Puranthakeswarar Temple, Puranthakam
Thiru Sivapuri Ukthavedeeswarar Temple, Sivapuri
Thiru Thelur Pasupatheeswarar Temple, Thelur
Thiru Tirtha Udayarpatti Theertheswarar Temple, Udayarpatti
Thiru Thiruvalampozhil Athmanatheswarar Temple, Thiruvalampozhil
Thiru Paithurai Maatruraivaradeeswarar Temple, Thiruppaithurai
Thiru Ozhukarai Vadamoolanathar Temple, Thiruvakkarai
Thiru Kurakkaval Kanneswarar Temple, Thirukurakkaval
Thiru Valappur Kanneeswarar Temple, Thiruvalapoor
Thiru Manappalli Manapureeswarar Temple, Manappalli
Thiru Vinnagar Ulagalantha Perumal Temple, Kanchipuram
Thiru Maruthampudur Marutheeswarar Temple, Maruthampudur
Thiru Puthur Sree Vanchinadha Swamy Temple, Srivanchiyam
Thiru Balur Pasupatheeswarar Temple, Thiruppalathurai
Thiru Aappanoor Aappudaiyar Temple, Sellur
Thiruvalavai Imayil Nanmai Tharuvar Temple, Madurai
Thiru Muruganpoondi Muruganatheswarar Temple, Thirumuruganpoondi
Thiru Kanchivayil Kailasanathar Temple, Kandavarayanpatti
Uthirakosamangai Mangalanathaswamy Temple, Uthirakosamangai
Thirupuvanam Pushpavananathar Temple, Thirupuvanam
Thiruvedagam Edakanathar Temple, Thiruvedagam
Thirupparankundram Subramanya Swamy Temple, Thiruparankundram
Thirukutralam Kutralanathar Temple, Courtallam
Thirunelveli Nellaiappar Temple, Tirunelveli
Thirukodunkundram Kodunkundranathar Temple, Piranmalai
Thirupputhur Thiruthalinathar Temple, Thiruppathur
Thirukalaiyarkoil Kaleeswarar Temple, Kalayarkoil
Thiru Aavai Aavai Nathar Temple, Madurai
Thiru Kannaar Kovil Kannayiramudaiyar Temple, Thirukkanapuram
Thiruppunavasal Vruddhapureeswarar Temple, Thiruppunavasal
Rameswaram Ramanathaswamy Temple, Rameswaram
Thiruvadanai Adhanathaswamy Temple, Thiruvadanai
Thiru Avinasi Avinasiappar Temple, Avinashi
Thiru Nanipalli Nattatreeswarar Temple, Bhavani
Thiru Kodumudi Magudeswarar Temple, Kodumudi
Thiru Karur Pasupatheeswarar Temple, Karur
Thiruchengodu Ardhanareeswarar Temple, Tiruchengode
Venjamakoodal Vikirthanatheswarar Temple, Vellakoil
Thiruvathigai Veerattaneswarar Temple, Thiruvathigai
Thiruthuraiyur Pasupatheeswarar Temple, Thiruthuraiyur
Thiru Idaiyaru Maruthureeswarar Temple, Thiruvennainallur
Tiruvennainallur Kirupaipureeswarar Temple, Tiruvennainallur
Thirukkovilur Veeratteswarar Temple, Thirukoilur
Arakandanallur Opporuvarumilladha Nayagar Temple, Arakandanallur
Gramam Mundeeswarar Temple, Gramam
Irumbai Mahakaleswarar Temple, Irumbai
Mahendrapalli Thirumeni Azhagar Temple, Mahendrapalli
Thiru Nallavur Nallavur Nathar Temple, Nallavur
Thiru Chathuranga Vallabanathar Temple, Poovanur
Thiru Paadaaleeswaram Paadaaleeswarar Temple, Cuddalore
Thiru Aamaiyur Aamaiyurappar Temple, Aamaiyur
Thiru Muthiyanchur Muthiyanchurappar Temple, Muthiyanchur
Thiru Valainallur Valainallurappar Temple, Valainallur
Thiru Viralmeendar Viralmeendarappar Temple, Viralimalai
Thiru Nilai Vada Thiruarasur Arasaleeswarar Temple, Vada Thiruarasur
Thiru Idaiyatru Thiru Maruthureeswarar Temple, Thiru Idaiyatru
Thiru Mundaaleeswaram Mundeeswarar Temple, Gramam
Thiru Ekambam Ekambareswarar Temple, Kanchipuram
Thiru Metrali Thirumetrakeeswarar Temple, Kanchipuram
Thiru Onakanthan Thali Onakantheswarar Temple, Kanchipuram
Kanchipuram Kailasanathar Temple, Kanchipuram
Kanchipuram Anekadhangavadeswarar Temple, Kanchipuram
Thirukaraikadu Punyakoteeswarar Temple, Thirukalimedu
Kuranganilmuttam Vaaleeswarar Temple, Kuranganilmuttam
Thiru Maagaral Magaraleeswarar Temple, Magaral
Thirumalper Iravadeeswarar Temple, Thirumalper
Thiruppasur Pasupatheeswarar Temple, Thiruppasur
Thiruvalangadu Vada Aranyeswarar Temple, Thiruvalangadu
Thiruppalaivanam Palaivananathar Temple, Thiruppalaivanam
Mylapore Kapaleeshwarar Temple, Mylapore
Thiruvanmiyur Marundeeswarar Temple, Thiruvanmiyur
Thiruvadisoolam Gnanapureeswarar Temple, Thiruvadisoolam
Thirukazhukundram Vedagiriswarar Temple, Thirukazhukundram
Acharapakkam Atcheeswarar Temple, Acharapakkam
Thakkolam Jalanatheeswarar Temple, Thakkolam
Ilambaiyankottur Arambeswarar Temple, Elumiyankottur
Kuvam Virkooteswarar Temple, Kuvam
Vellavedu Vedeswarar Temple, Vellavedu
Tiruvannamalai Arunachaleswarar Temple, Tiruvannamalai
Thiru Kachur Thiru Alakkoil Marundeeswarar Temple, Thirukachur
Thiru Ooral Ooraleeswarar Temple, Thakkolam
Thiru Bothur Vedeswarar Temple, Vellavedu
Thiru Kallil Sivan Temple, Kallil
Thiru Madhavimangalam Madhava Perumal Temple, Madhavimangalam
Thiru Ooragam Ulagalantha Perumal Temple, Kanchipuram
Thiru Anbil Alanthurai Brahmapureeswarar Temple, Anbil
Srikalahasti Srikalahasteeswara Temple, Srikalahasti
Srisailam Mallikarjuna Temple, Srisailam
Gokarna Mahabaleshwarar Temple, Gokarna
Thiruvanjikulam Mahadeva Temple, Kodungallur
Thiruketheeswaram Ketheeswarar Temple, Mannar
Thirukkoneswaram Koneswarar Temple, Trincomalee
Indraneela Parvatham, Neelkanth Mahadev Temple, Rishikesh
Kedarnath Temple, Kedarnath
Mount Kailash, Tibet
Amarnath Cave Temple, Jammu and Kashmir
Pashupatinath Temple, Kathmandu
Madurai Meenakshi Sundareswarar Temple, Madurai
